BODY: Zombie_Berserker facing 0 frame 0: x 0, y -17
BODY: Wraith_Officer facing 2 frame 0: x -6, y -20
BODY: Wraith_Officer facing 2 frame 1: x -6, y -21
BODY: Wraith_Officer facing 2 frame 2: x -6, y -22
BODY: Wraith_Officer facing 2 frame 3: x -6, y -21
BODY: Wraith_Officer facing 3 frame 0: x 6, y -19
BODY: Wraith_Officer facing 3 frame 1: x 6, y -20
BODY: Wraith_Officer facing 3 frame 2: x 6, y -21
BODY: Wraith_Officer facing 3 frame 3: x 6, y -20
EXPLODE: Wraith_Officer facing 0 frame 0: x 86, y 103
EXPLODE: Wraith_Officer facing 0 frame 1: x 88, y 84
EXPLODE: Wraith_Officer facing 0 frame 2: x 90, y 71
EXPLODE: Wraith_Officer facing 0 frame 3: x 92, y 69
EXPLODE: Wraith_Officer facing 0 frame 4: x 94, y 80
EXPLODE: Wraith_Officer facing 0 frame 5: x 92, y 105
EXPLODE: Wraith_Officer facing 0 frame 6: x 90, y 130
EXPLODE: Wraith_Officer facing 0 frame 7: x 88, y 155
EXPLODE: Wraith_Officer facing 0 frame 8: x 86, y 180
EXPLODE: Wraith_Officer facing 0 frame 9: x 90, y 200
EXPLODE: Wraith_Officer facing 0 frame 10: x 90, y 200
EXPLODE: Wraith_Officer facing 0 frame 11: x 90, y 200
EXPLODE: Wraith_Officer facing 1 frame 0: x 74, y 104
EXPLODE: Wraith_Officer facing 1 frame 1: x 76, y 85
EXPLODE: Wraith_Officer facing 1 frame 2: x 78, y 72
EXPLODE: Wraith_Officer facing 1 frame 3: x 80, y 69
EXPLODE: Wraith_Officer facing 1 frame 4: x 82, y 80
EXPLODE: Wraith_Officer facing 1 frame 5: x 80, y 105
EXPLODE: Wraith_Officer facing 1 frame 6: x 78, y 130
EXPLODE: Wraith_Officer facing 1 frame 7: x 76, y 155
EXPLODE: Wraith_Officer facing 1 frame 8: x 74, y 180
EXPLODE: Wraith_Officer facing 1 frame 9: x 78, y 201
EXPLODE: Wraith_Officer facing 1 frame 10: x 78, y 201
EXPLODE: Wraith_Officer facing 1 frame 11: x 78, y 201
EXPLODE: Wraith_Officer facing 2 frame 0: x 74, y 97
EXPLODE: Wraith_Officer facing 2 frame 1: x 76, y 78
EXPLODE: Wraith_Officer facing 2 frame 2: x 78, y 65
EXPLODE: Wraith_Officer facing 2 frame 3: x 80, y 63
EXPLODE: Wraith_Officer facing 2 frame 4: x 82, y 74
EXPLODE: Wraith_Officer facing 2 frame 5: x 80, y 99
EXPLODE: Wraith_Officer facing 2 frame 6: x 78, y 124
EXPLODE: Wraith_Officer facing 2 frame 7: x 76, y 149
EXPLODE: Wraith_Officer facing 2 frame 8: x 74, y 174
EXPLODE: Wraith_Officer facing 2 frame 9: x 78, y 194
EXPLODE: Wraith_Officer facing 2 frame 10: x 78, y 194
EXPLODE: Wraith_Officer facing 2 frame 11: x 78, y 194
EXPLODE: Wraith_Officer facing 3 frame 0: x 86, y 98
EXPLODE: Wraith_Officer facing 3 frame 1: x 88, y 79
EXPLODE: Wraith_Officer facing 3 frame 2: x 90, y 66
EXPLODE: Wraith_Officer facing 3 frame 3: x 92, y 63
EXPLODE: Wraith_Officer facing 3 frame 4: x 94, y 74
EXPLODE: Wraith_Officer facing 3 frame 5: x 92, y 99
EXPLODE: Wraith_Officer facing 3 frame 6: x 90, y 124
EXPLODE: Wraith_Officer facing 3 frame 7: x 88, y 149
EXPLODE: Wraith_Officer facing 3 frame 8: x 86, y 174
EXPLODE: Wraith_Officer facing 3 frame 9: x 90, y 195
EXPLODE: Wraith_Officer facing 3 frame 10: x 90, y 195
EXPLODE: Wraith_Officer facing 3 frame 11: x 90, y 195
BODY: Wraith_Dervish facing 0 frame 0: x 6, y -11
BODY: Wraith_Dervish facing 0 frame 1: x 6, y -12
BODY: Wraith_Dervish facing 0 frame 2: x 6, y -13
BODY: Wraith_Dervish facing 0 frame 3: x 6, y -12
BODY: Wraith_Dervish facing 1 frame 0: x -6, y -10
BODY: Wraith_Dervish facing 1 frame 1: x -6, y -11
BODY: Wraith_Dervish facing 1 frame 2: x -6, y -12
BODY: Wraith_Dervish facing 1 frame 3: x -6, y -11
BODY: Wraith_Dervish facing 2 frame 0: x -6, y -17
BODY: Wraith_Dervish facing 2 frame 1: x -6, y -18
BODY: Wraith_Dervish facing 2 frame 2: x -6, y -19
BODY: Wraith_Dervish facing 2 frame 3: x -6, y -18
BODY: Wraith_Dervish facing 3 frame 0: x 6, y -16
BODY: Wraith_Dervish facing 3 frame 1: x 6, y -17
BODY: Wraith_Dervish facing 3 frame 2: x 6, y -18
BODY: Wraith_Dervish facing 3 frame 3: x 6, y -17
EXPLODE: Wraith_Dervish facing 0 frame 0: x 86, y 106
EXPLODE: Wraith_Dervish facing 0 frame 1: x 88, y 87
EXPLODE: Wraith_Dervish facing 0 frame 2: x 90, y 74
EXPLODE: Wraith_Dervish facing 0 frame 3: x 92, y 72
EXPLODE: Wraith_Dervish facing 0 frame 4: x 94, y 83
EXPLODE: Wraith_Dervish facing 0 frame 5: x 92, y 108
EXPLODE: Wraith_Dervish facing 0 frame 6: x 90, y 133
EXPLODE: Wraith_Dervish facing 0 frame 7: x 88, y 158
EXPLODE: Wraith_Dervish facing 0 frame 8: x 86, y 183
EXPLODE: Wraith_Dervish facing 0 frame 9: x 90, y 203
EXPLODE: Wraith_Dervish facing 0 frame 10: x 90, y 203
EXPLODE: Wraith_Dervish facing 0 frame 11: x 90, y 203
EXPLODE: Wraith_Dervish facing 1 frame 0: x 74, y 107
EXPLODE: Wraith_Dervish facing 1 frame 1: x 76, y 88
EXPLODE: Wraith_Dervish facing 1 frame 2: x 78, y 75
EXPLODE: Wraith_Dervish facing 1 frame 3: x 80, y 72
EXPLODE: Wraith_Dervish facing 1 frame 4: x 82, y 83
EXPLODE: Wraith_Dervish facing 1 frame 5: x 80, y 108
EXPLODE: Wraith_Dervish facing 1 frame 6: x 78, y 133
EXPLODE: Wraith_Dervish facing 1 frame 7: x 76, y 158
EXPLODE: Wraith_Dervish facing 1 frame 8: x 74, y 183
EXPLODE: Wraith_Dervish facing 1 frame 9: x 78, y 204
EXPLODE: Wraith_Dervish facing 1 frame 10: x 78, y 204
EXPLODE: Wraith_Dervish facing 1 frame 11: x 78, y 204
EXPLODE: Wraith_Dervish facing 2 frame 0: x 74, y 100
EXPLODE: Wraith_Dervish facing 2 frame 1: x 76, y 81
EXPLODE: Wraith_Dervish facing 2 frame 2: x 78, y 68
EXPLODE: Wraith_Dervish facing 2 frame 3: x 80, y 66
EXPLODE: Wraith_Dervish facing 2 frame 4: x 82, y 77
EXPLODE: Wraith_Dervish facing 2 frame 5: x 80, y 102
EXPLODE: Wraith_Dervish facing 2 frame 6: x 78, y 127
EXPLODE: Wraith_Dervish facing 2 frame 7: x 76, y 152
EXPLODE: Wraith_Dervish facing 2 frame 8: x 74, y 177
EXPLODE: Wraith_Dervish facing 2 frame 9: x 78, y 197
EXPLODE: Wraith_Dervish facing 2 frame 10: x 78, y 197
EXPLODE: Wraith_Dervish facing 2 frame 11: x 78, y 197
EXPLODE: Wraith_Dervish facing 3 frame 0: x 86, y 101
EXPLODE: Wraith_Dervish facing 3 frame 1: x 88, y 82
EXPLODE: Wraith_Dervish facing 3 frame 2: x 90, y 69
EXPLODE: Wraith_Dervish facing 3 frame 3: x 92, y 66
EXPLODE: Wraith_Dervish facing 3 frame 4: x 94, y 77
EXPLODE: Wraith_Dervish facing 3 frame 5: x 92, y 102
EXPLODE: Wraith_Dervish facing 3 frame 6: x 90, y 127
EXPLODE: Wraith_Dervish facing 3 frame 7: x 88, y 152
EXPLODE: Wraith_Dervish facing 3 frame 8: x 86, y 177
EXPLODE: Wraith_Dervish facing 3 frame 9: x 90, y 198
EXPLODE: Wraith_Dervish facing 3 frame 10: x 90, y 198
EXPLODE: Wraith_Dervish facing 3 frame 11: x 90, y 198
BODY: Wraith_Thug facing 0 frame 0: x 6, y -14
BODY: Wraith_Thug facing 0 frame 1: x 6, y -15
BODY: Wraith_Thug facing 0 frame 2: x 6, y -16
BODY: Wraith_Thug facing 0 frame 3: x 6, y -15
BODY: Wraith_Thug facing 1 frame 0: x -6, y -13
BODY: Wraith_Thug facing 1 frame 1: x -6, y -14
BODY: Wraith_Thug facing 1 frame 2: x -6, y -15
BODY: Wraith_Thug facing 1 frame 3: x -6, y -14
BODY: Wraith_Thug facing 2 frame 0: x -6, y -20
BODY: Wraith_Thug facing 2 frame 1: x -6, y -21
BODY: Wraith_Thug facing 2 frame 2: x -6, y -22
BODY: Wraith_Thug facing 2 frame 3: x -6, y -21
BODY: Wraith_Thug facing 3 frame 0: x 6, y -19
BODY: Wraith_Thug facing 3 frame 1: x 6, y -20
BODY: Wraith_Thug facing 3 frame 2: x 6, y -21
BODY: Wraith_Thug facing 3 frame 3: x 6, y -20
EXPLODE: Wraith_Thug facing 0 frame 0: x 86, y 103
EXPLODE: Wraith_Thug facing 0 frame 1: x 88, y 84
EXPLODE: Wraith_Thug facing 0 frame 2: x 90, y 71
EXPLODE: Wraith_Thug facing 0 frame 3: x 92, y 69
EXPLODE: Wraith_Thug facing 0 frame 4: x 94, y 80
EXPLODE: Wraith_Thug facing 0 frame 5: x 92, y 105
EXPLODE: Wraith_Thug facing 0 frame 6: x 90, y 130
EXPLODE: Wraith_Thug facing 0 frame 7: x 88, y 155
EXPLODE: Wraith_Thug facing 0 frame 8: x 86, y 180
EXPLODE: Wraith_Thug facing 0 frame 9: x 90, y 200
EXPLODE: Wraith_Thug facing 0 frame 10: x 90, y 200
EXPLODE: Wraith_Thug facing 0 frame 11: x 90, y 200
EXPLODE: Wraith_Thug facing 1 frame 0: x 74, y 104
EXPLODE: Wraith_Thug facing 1 frame 1: x 76, y 85
EXPLODE: Wraith_Thug facing 1 frame 2: x 78, y 72
EXPLODE: Wraith_Thug facing 1 frame 3: x 80, y 69
EXPLODE: Wraith_Thug facing 1 frame 4: x 82, y 80
EXPLODE: Wraith_Thug facing 1 frame 5: x 80, y 105
EXPLODE: Wraith_Thug facing 1 frame 6: x 78, y 130
EXPLODE: Wraith_Thug facing 1 frame 7: x 76, y 155
EXPLODE: Wraith_Thug facing 1 frame 8: x 74, y 180
EXPLODE: Wraith_Thug facing 1 frame 9: x 78, y 201
EXPLODE: Wraith_Thug facing 1 frame 10: x 78, y 201
EXPLODE: Wraith_Thug facing 1 frame 11: x 78, y 201
EXPLODE: Wraith_Thug facing 2 frame 0: x 74, y 97
EXPLODE: Wraith_Thug facing 2 frame 1: x 76, y 78
EXPLODE: Wraith_Thug facing 2 frame 2: x 78, y 65
EXPLODE: Wraith_Thug facing 2 frame 3: x 80, y 63
EXPLODE: Wraith_Thug facing 2 frame 4: x 82, y 74
EXPLODE: Wraith_Thug facing 2 frame 5: x 80, y 99
EXPLODE: Wraith_Thug facing 2 frame 6: x 78, y 124
EXPLODE: Wraith_Thug facing 2 frame 7: x 76, y 149
EXPLODE: Wraith_Thug facing 2 frame 8: x 74, y 174
EXPLODE: Wraith_Thug facing 2 frame 9: x 78, y 194
EXPLODE: Wraith_Thug facing 2 frame 10: x 78, y 194
EXPLODE: Wraith_Thug facing 2 frame 11: x 78, y 194
EXPLODE: Wraith_Thug facing 3 frame 0: x 86, y 98
EXPLODE: Wraith_Thug facing 3 frame 1: x 88, y 79
EXPLODE: Wraith_Thug facing 3 frame 2: x 90, y 66
EXPLODE: Wraith_Thug facing 3 frame 3: x 92, y 63
EXPLODE: Wraith_Thug facing 3 frame 4: x 94, y 74
EXPLODE: Wraith_Thug facing 3 frame 5: x 92, y 99
EXPLODE: Wraith_Thug facing 3 frame 6: x 90, y 124
EXPLODE: Wraith_Thug facing 3 frame 7: x 88, y 149
EXPLODE: Wraith_Thug facing 3 frame 8: x 86, y 174
EXPLODE: Wraith_Thug facing 3 frame 9: x 90, y 195
EXPLODE: Wraith_Thug facing 3 frame 10: x 90, y 195
EXPLODE: Wraith_Thug facing 3 frame 11: x 90, y 195
BODY: Wraith_Bishop facing 0 frame 0: x 6, y -15
BODY: Wraith_Bishop facing 0 frame 1: x 6, y -16
BODY: Wraith_Bishop facing 0 frame 2: x 6, y -17
BODY: Wraith_Bishop facing 0 frame 3: x 6, y -16
BODY: Wraith_Bishop facing 1 frame 0: x -6, y -15
BODY: Wraith_Bishop facing 1 frame 1: x -6, y -16
BODY: Wraith_Bishop facing 1 frame 2: x -6, y -17
BODY: Wraith_Bishop facing 1 frame 3: x -6, y -16
BODY: Wraith_Bishop facing 2 frame 0: x -6, y -21
BODY: Wraith_Bishop facing 2 frame 1: x -6, y -22
BODY: Wraith_Bishop facing 2 frame 2: x -6, y -23
BODY: Wraith_Bishop facing 2 frame 3: x -6, y -22
BODY: Wraith_Bishop facing 3 frame 0: x 6, y -21
BODY: Wraith_Bishop facing 3 frame 1: x 6, y -22
BODY: Wraith_Bishop facing 3 frame 2: x 6, y -23
BODY: Wraith_Bishop facing 3 frame 3: x 6, y -22
EXPLODE: Wraith_Bishop facing 0 frame 0: x 86, y 102
EXPLODE: Wraith_Bishop facing 0 frame 1: x 88, y 83
EXPLODE: Wraith_Bishop facing 0 frame 2: x 90, y 70
EXPLODE: Wraith_Bishop facing 0 frame 3: x 92, y 68
EXPLODE: Wraith_Bishop facing 0 frame 4: x 94, y 79
EXPLODE: Wraith_Bishop facing 0 frame 5: x 92, y 104
EXPLODE: Wraith_Bishop facing 0 frame 6: x 90, y 129
EXPLODE: Wraith_Bishop facing 0 frame 7: x 88, y 154
EXPLODE: Wraith_Bishop facing 0 frame 8: x 86, y 179
EXPLODE: Wraith_Bishop facing 0 frame 9: x 90, y 199
EXPLODE: Wraith_Bishop facing 0 frame 10: x 90, y 199
EXPLODE: Wraith_Bishop facing 0 frame 11: x 90, y 199
EXPLODE: Wraith_Bishop facing 1 frame 0: x 74, y 102
EXPLODE: Wraith_Bishop facing 1 frame 1: x 76, y 83
EXPLODE: Wraith_Bishop facing 1 frame 2: x 78, y 70
EXPLODE: Wraith_Bishop facing 1 frame 3: x 80, y 67
EXPLODE: Wraith_Bishop facing 1 frame 4: x 82, y 78
EXPLODE: Wraith_Bishop facing 1 frame 5: x 80, y 103
EXPLODE: Wraith_Bishop facing 1 frame 6: x 78, y 128
EXPLODE: Wraith_Bishop facing 1 frame 7: x 76, y 153
EXPLODE: Wraith_Bishop facing 1 frame 8: x 74, y 178
EXPLODE: Wraith_Bishop facing 1 frame 9: x 78, y 199
EXPLODE: Wraith_Bishop facing 1 frame 10: x 78, y 199
EXPLODE: Wraith_Bishop facing 1 frame 11: x 78, y 199
EXPLODE: Wraith_Bishop facing 2 frame 0: x 74, y 96
EXPLODE: Wraith_Bishop facing 2 frame 1: x 76, y 77
EXPLODE: Wraith_Bishop facing 2 frame 2: x 78, y 64
EXPLODE: Wraith_Bishop facing 2 frame 3: x 80, y 62
EXPLODE: Wraith_Bishop facing 2 frame 4: x 82, y 73
EXPLODE: Wraith_Bishop facing 2 frame 5: x 80, y 98
EXPLODE: Wraith_Bishop facing 2 frame 6: x 78, y 123
EXPLODE: Wraith_Bishop facing 2 frame 7: x 76, y 148
EXPLODE: Wraith_Bishop facing 2 frame 8: x 74, y 173
EXPLODE: Wraith_Bishop facing 2 frame 9: x 78, y 193
EXPLODE: Wraith_Bishop facing 2 frame 10: x 78, y 193
EXPLODE: Wraith_Bishop facing 2 frame 11: x 78, y 193
EXPLODE: Wraith_Bishop facing 3 frame 0: x 86, y 96
EXPLODE: Wraith_Bishop facing 3 frame 1: x 88, y 77
EXPLODE: Wraith_Bishop facing 3 frame 2: x 90, y 64
EXPLODE: Wraith_Bishop facing 3 frame 3: x 92, y 61
EXPLODE: Wraith_Bishop facing 3 frame 4: x 94, y 72
EXPLODE: Wraith_Bishop facing 3 frame 5: x 92, y 97
EXPLODE: Wraith_Bishop facing 3 frame 6: x 90, y 122
EXPLODE: Wraith_Bishop facing 3 frame 7: x 88, y 147
EXPLODE: Wraith_Bishop facing 3 frame 8: x 86, y 172
EXPLODE: Wraith_Bishop facing 3 frame 9: x 90, y 193
EXPLODE: Wraith_Bishop facing 3 frame 10: x 90, y 193
EXPLODE: Wraith_Bishop facing 3 frame 11: x 90, y 193
BODY: Cinder_Berserker facing 0 frame 0: x 0, y -15
BODY: Cinder_Berserker facing 0 frame 1: x 0, y -15
BODY: Cinder_Berserker facing 0 frame 2: x 0, y -15
BODY: Cinder_Berserker facing 0 frame 3: x 0, y -15
BODY: Cinder_Berserker facing 1 frame 0: x 0, y -15
BODY: Cinder_Berserker facing 1 frame 1: x 0, y -15
BODY: Cinder_Berserker facing 1 frame 2: x 0, y -15
BODY: Cinder_Berserker facing 1 frame 3: x 0, y -15
BODY: Cinder_Berserker facing 2 frame 0: x 0, y -15
BODY: Cinder_Berserker facing 2 frame 1: x 0, y -15
BODY: Cinder_Berserker facing 2 frame 2: x 0, y -15
BODY: Cinder_Berserker facing 2 frame 3: x 0, y -15
BODY: Cinder_Berserker facing 3 frame 0: x 0, y -15
BODY: Cinder_Berserker facing 3 frame 1: x 0, y -15
BODY: Cinder_Berserker facing 3 frame 2: x 0, y -15
BODY: Cinder_Berserker facing 3 frame 3: x 0, y -15
EXPLODE: Cinder_Berserker facing 0 frame 0: x 80, y 102
EXPLODE: Cinder_Berserker facing 0 frame 1: x 82, y 83
EXPLODE: Cinder_Berserker facing 0 frame 2: x 84, y 70
EXPLODE: Cinder_Berserker facing 0 frame 3: x 86, y 67
EXPLODE: Cinder_Berserker facing 0 frame 4: x 88, y 78
EXPLODE: Cinder_Berserker facing 0 frame 5: x 86, y 103
EXPLODE: Cinder_Berserker facing 0 frame 6: x 84, y 128
EXPLODE: Cinder_Berserker facing 0 frame 7: x 82, y 153
EXPLODE: Cinder_Berserker facing 0 frame 8: x 80, y 178
EXPLODE: Cinder_Berserker facing 0 frame 9: x 84, y 197
EXPLODE: Cinder_Berserker facing 0 frame 10: x 84, y 197
EXPLODE: Cinder_Berserker facing 0 frame 11: x 84, y 197
EXPLODE: Cinder_Berserker facing 1 frame 0: x 80, y 102
EXPLODE: Cinder_Berserker facing 1 frame 1: x 82, y 83
EXPLODE: Cinder_Berserker facing 1 frame 2: x 84, y 70
EXPLODE: Cinder_Berserker facing 1 frame 3: x 86, y 68
EXPLODE: Cinder_Berserker facing 1 frame 4: x 88, y 79
EXPLODE: Cinder_Berserker facing 1 frame 5: x 86, y 104
EXPLODE: Cinder_Berserker facing 1 frame 6: x 84, y 129
EXPLODE: Cinder_Berserker facing 1 frame 7: x 82, y 154
EXPLODE: Cinder_Berserker facing 1 frame 8: x 80, y 179
EXPLODE: Cinder_Berserker facing 1 frame 9: x 84, y 198
EXPLODE: Cinder_Berserker facing 1 frame 10: x 84, y 198
EXPLODE: Cinder_Berserker facing 1 frame 11: x 84, y 198
EXPLODE: Cinder_Berserker facing 2 frame 0: x 80, y 102
EXPLODE: Cinder_Berserker facing 2 frame 1: x 82, y 83
EXPLODE: Cinder_Berserker facing 2 frame 2: x 84, y 70
EXPLODE: Cinder_Berserker facing 2 frame 3: x 86, y 67
EXPLODE: Cinder_Berserker facing 2 frame 4: x 88, y 78
EXPLODE: Cinder_Berserker facing 2 frame 5: x 86, y 103
EXPLODE: Cinder_Berserker facing 2 frame 6: x 84, y 128
EXPLODE: Cinder_Berserker facing 2 frame 7: x 82, y 153
EXPLODE: Cinder_Berserker facing 2 frame 8: x 80, y 178
EXPLODE: Cinder_Berserker facing 2 frame 9: x 84, y 197
EXPLODE: Cinder_Berserker facing 2 frame 10: x 84, y 197
EXPLODE: Cinder_Berserker facing 2 frame 11: x 84, y 197
EXPLODE: Cinder_Berserker facing 3 frame 0: x 80, y 102
EXPLODE: Cinder_Berserker facing 3 frame 1: x 82, y 83
EXPLODE: Cinder_Berserker facing 3 frame 2: x 84, y 70
EXPLODE: Cinder_Berserker facing 3 frame 3: x 86, y 68
EXPLODE: Cinder_Berserker facing 3 frame 4: x 88, y 79
EXPLODE: Cinder_Berserker facing 3 frame 5: x 86, y 104
EXPLODE: Cinder_Berserker facing 3 frame 6: x 84, y 129
EXPLODE: Cinder_Berserker facing 3 frame 7: x 82, y 154
EXPLODE: Cinder_Berserker facing 3 frame 8: x 80, y 179
EXPLODE: Cinder_Berserker facing 3 frame 9: x 84, y 198
EXPLODE: Cinder_Berserker facing 3 frame 10: x 84, y 198
EXPLODE: Cinder_Berserker facing 3 frame 11: x 84, y 198
BODY: Cinder_Witch facing 0 frame 0: x 0, y -15
BODY: Cinder_Witch facing 0 frame 1: x 0, y -15
BODY: Cinder_Witch facing 0 frame 2: x 0, y -15
BODY: Cinder_Witch facing 0 frame 3: x 0, y -15
BODY: Cinder_Witch facing 1 frame 0: x 0, y -15
BODY: Cinder_Witch facing 1 frame 1: x 0, y -15
BODY: Cinder_Witch facing 1 frame 2: x 0, y -15
BODY: Cinder_Witch facing 1 frame 3: x 0, y -15
BODY: Cinder_Witch facing 2 frame 0: x 0, y -15
BODY: Cinder_Witch facing 2 frame 1: x 0, y -15
BODY: Cinder_Witch facing 2 frame 2: x 0, y -15
BODY: Cinder_Witch facing 2 frame 3: x 0, y -15
BODY: Cinder_Witch facing 3 frame 0: x 0, y -15
BODY: Cinder_Witch facing 3 frame 1: x 0, y -15
BODY: Cinder_Witch facing 3 frame 2: x 0, y -15
BODY: Cinder_Witch facing 3 frame 3: x 0, y -15
EXPLODE: Cinder_Witch facing 0 frame 0: x 80, y 102
EXPLODE: Cinder_Witch facing 0 frame 1: x 82, y 83
EXPLODE: Cinder_Witch facing 0 frame 2: x 84, y 70
EXPLODE: Cinder_Witch facing 0 frame 3: x 86, y 67
EXPLODE: Cinder_Witch facing 0 frame 4: x 88, y 78
EXPLODE: Cinder_Witch facing 0 frame 5: x 86, y 103
EXPLODE: Cinder_Witch facing 0 frame 6: x 84, y 128
EXPLODE: Cinder_Witch facing 0 frame 7: x 82, y 153
EXPLODE: Cinder_Witch facing 0 frame 8: x 80, y 178
EXPLODE: Cinder_Witch facing 0 frame 9: x 84, y 197
EXPLODE: Cinder_Witch facing 0 frame 10: x 84, y 197
EXPLODE: Cinder_Witch facing 0 frame 11: x 84, y 197
EXPLODE: Cinder_Witch facing 1 frame 0: x 80, y 102
EXPLODE: Cinder_Witch facing 1 frame 1: x 82, y 83
EXPLODE: Cinder_Witch facing 1 frame 2: x 84, y 70
EXPLODE: Cinder_Witch facing 1 frame 3: x 86, y 68
EXPLODE: Cinder_Witch facing 1 frame 4: x 88, y 79
EXPLODE: Cinder_Witch facing 1 frame 5: x 86, y 104
EXPLODE: Cinder_Witch facing 1 frame 6: x 84, y 129
EXPLODE: Cinder_Witch facing 1 frame 7: x 82, y 154
EXPLODE: Cinder_Witch facing 1 frame 8: x 80, y 179
EXPLODE: Cinder_Witch facing 1 frame 9: x 84, y 198
EXPLODE: Cinder_Witch facing 1 frame 10: x 84, y 198
EXPLODE: Cinder_Witch facing 1 frame 11: x 84, y 198
EXPLODE: Cinder_Witch facing 2 frame 0: x 80, y 102
EXPLODE: Cinder_Witch facing 2 frame 1: x 82, y 83
EXPLODE: Cinder_Witch facing 2 frame 2: x 84, y 70
EXPLODE: Cinder_Witch facing 2 frame 3: x 86, y 67
EXPLODE: Cinder_Witch facing 2 frame 4: x 88, y 78
EXPLODE: Cinder_Witch facing 2 frame 5: x 86, y 103
EXPLODE: Cinder_Witch facing 2 frame 6: x 84, y 128
EXPLODE: Cinder_Witch facing 2 frame 7: x 82, y 153
EXPLODE: Cinder_Witch facing 2 frame 8: x 80, y 178
EXPLODE: Cinder_Witch facing 2 frame 9: x 84, y 197
EXPLODE: Cinder_Witch facing 2 frame 10: x 84, y 197
EXPLODE: Cinder_Witch facing 2 frame 11: x 84, y 197
EXPLODE: Cinder_Witch facing 3 frame 0: x 80, y 102
EXPLODE: Cinder_Witch facing 3 frame 1: x 82, y 83
EXPLODE: Cinder_Witch facing 3 frame 2: x 84, y 70
EXPLODE: Cinder_Witch facing 3 frame 3: x 86, y 68
EXPLODE: Cinder_Witch facing 3 frame 4: x 88, y 79
EXPLODE: Cinder_Witch facing 3 frame 5: x 86, y 104
EXPLODE: Cinder_Witch facing 3 frame 6: x 84, y 129
EXPLODE: Cinder_Witch facing 3 frame 7: x 82, y 154
EXPLODE: Cinder_Witch facing 3 frame 8: x 80, y 179
EXPLODE: Cinder_Witch facing 3 frame 9: x 84, y 198
EXPLODE: Cinder_Witch facing 3 frame 10: x 84, y 198
EXPLODE: Cinder_Witch facing 3 frame 11: x 84, y 198
BODY: Cinder_Scout facing 0 frame 0: x 0, y -16
BODY: Cinder_Scout facing 0 frame 1: x 0, y -16
BODY: Cinder_Scout facing 0 frame 2: x 0, y -16
BODY: Cinder_Scout facing 0 frame 3: x 0, y -16
BODY: Cinder_Scout facing 1 frame 0: x 0, y -17
BODY: Cinder_Scout facing 1 frame 1: x 0, y -17
BODY: Cinder_Scout facing 1 frame 2: x 0, y -17
BODY: Cinder_Scout facing 1 frame 3: x 0, y -17
BODY: Cinder_Scout facing 2 frame 0: x 0, y -16
BODY: Cinder_Scout facing 2 frame 1: x 0, y -16
BODY: Cinder_Scout facing 2 frame 2: x 0, y -16
BODY: Cinder_Scout facing 2 frame 3: x 0, y -16
BODY: Cinder_Scout facing 3 frame 0: x 0, y -17
BODY: Cinder_Scout facing 3 frame 1: x 0, y -17
BODY: Cinder_Scout facing 3 frame 2: x 0, y -17
BODY: Cinder_Scout facing 3 frame 3: x 0, y -17
EXPLODE: Cinder_Scout facing 0 frame 0: x 80, y 101
EXPLODE: Cinder_Scout facing 0 frame 1: x 82, y 82
EXPLODE: Cinder_Scout facing 0 frame 2: x 84, y 69
EXPLODE: Cinder_Scout facing 0 frame 3: x 86, y 66
EXPLODE: Cinder_Scout facing 0 frame 4: x 88, y 77
EXPLODE: Cinder_Scout facing 0 frame 5: x 86, y 102
EXPLODE: Cinder_Scout facing 0 frame 6: x 84, y 127
EXPLODE: Cinder_Scout facing 0 frame 7: x 82, y 152
EXPLODE: Cinder_Scout facing 0 frame 8: x 80, y 177
EXPLODE: Cinder_Scout facing 0 frame 9: x 84, y 196
EXPLODE: Cinder_Scout facing 0 frame 10: x 84, y 196
EXPLODE: Cinder_Scout facing 0 frame 11: x 84, y 196
EXPLODE: Cinder_Scout facing 1 frame 0: x 80, y 100
EXPLODE: Cinder_Scout facing 1 frame 1: x 82, y 81
EXPLODE: Cinder_Scout facing 1 frame 2: x 84, y 68
EXPLODE: Cinder_Scout facing 1 frame 3: x 86, y 66
EXPLODE: Cinder_Scout facing 1 frame 4: x 88, y 77
EXPLODE: Cinder_Scout facing 1 frame 5: x 86, y 102
EXPLODE: Cinder_Scout facing 1 frame 6: x 84, y 127
EXPLODE: Cinder_Scout facing 1 frame 7: x 82, y 152
EXPLODE: Cinder_Scout facing 1 frame 8: x 80, y 177
EXPLODE: Cinder_Scout facing 1 frame 9: x 84, y 196
EXPLODE: Cinder_Scout facing 1 frame 10: x 84, y 196
EXPLODE: Cinder_Scout facing 1 frame 11: x 84, y 196
EXPLODE: Cinder_Scout facing 2 frame 0: x 80, y 101
EXPLODE: Cinder_Scout facing 2 frame 1: x 82, y 82
EXPLODE: Cinder_Scout facing 2 frame 2: x 84, y 69
EXPLODE: Cinder_Scout facing 2 frame 3: x 86, y 66
EXPLODE: Cinder_Scout facing 2 frame 4: x 88, y 77
EXPLODE: Cinder_Scout facing 2 frame 5: x 86, y 102
EXPLODE: Cinder_Scout facing 2 frame 6: x 84, y 127
EXPLODE: Cinder_Scout facing 2 frame 7: x 82, y 152
EXPLODE: Cinder_Scout facing 2 frame 8: x 80, y 177
EXPLODE: Cinder_Scout facing 2 frame 9: x 84, y 196
